,Longitude,Latitude,Amenity
0,72.8325747,18.927571,restaurant
1,72.8325747,18.927571,restaurant
2,72.8325747,18.927571,restaurant
3,72.8272935,18.942228,parking
4,72.8272935,18.942228,parking
5,72.8272935,18.942228,parking
6,72.8269,18.9424,parking
7,72.8269,18.9424,parking
8,72.8269,18.9424,parking
9,72.8369017,18.9567022,parking
10,72.8369017,18.9567022,parking
11,72.8369017,18.9567022,parking
12,72.8058471,18.9643233,parking
13,72.8058471,18.9643233,parking
14,72.8058471,18.9643233,parking
15,72.8936069,19.0611444,hospital
16,72.8936069,19.0611444,hospital
17,72.8936069,19.0611444,hospital
18,72.8417264,19.0879905,parking
19,72.8417264,19.0879905,parking
20,72.8417264,19.0879905,parking
21,72.8505495,19.0934661,parking
22,72.8505495,19.0934661,parking
23,72.8505495,19.0934661,parking
24,72.8501748,19.1174006,parking
25,72.8501748,19.1174006,parking
26,72.8501748,19.1174006,parking
27,72.789529,19.1473042,parking
28,72.789529,19.1473042,parking
29,72.789529,19.1473042,parking
30,72.789529,19.1473042,parking
31,72.8435,19.1824,parking
32,72.8435,19.1824,parking
33,72.8435,19.1824,parking
34,72.9255342,19.0432972,police
35,72.9255342,19.0432972,police
36,72.9256871,19.0436727,school
37,72.9256871,19.0436727,school
38,72.817372,18.997908,fuel
39,72.817372,18.997908,fuel
40,72.817372,18.997908,fuel
41,72.8046198,18.964365,place_of_worship
42,72.8046198,18.964365,place_of_worship
43,72.8046198,18.964365,place_of_worship
44,72.8091494,18.9624027,theatre
45,72.8091494,18.9624027,theatre
46,72.8282639,19.0510021,place_of_worship
47,72.8282639,19.0510021,place_of_worship
48,72.8282639,19.0510021,place_of_worship
49,72.8282639,19.0510021,place_of_worship
50,72.8247562,19.0524573,studio
51,72.8247562,19.0524573,studio
52,72.8247562,19.0524573,studio
53,72.8270568,19.0507577,bank
54,72.8270568,19.0507577,bank
55,72.8270568,19.0507577,bank
56,72.8270568,19.0507577,bank
57,72.8197644,19.042429,place_of_worship
58,72.8197644,19.042429,place_of_worship
59,72.8197644,19.042429,place_of_worship
60,72.8321317,19.0516428,hospital
61,72.8321317,19.0516428,hospital
62,72.8321317,19.0516428,hospital
63,72.8287305,19.0566226,college
64,72.8287305,19.0566226,college
65,72.8287305,19.0566226,college
66,72.8287305,19.0566226,college
67,72.8323034,19.0512047,theatre
68,72.8323034,19.0512047,theatre
69,72.8307379,19.0550612,fast_food
70,72.8307379,19.0550612,fast_food
71,72.8307379,19.0550612,fast_food
72,72.8265965,19.0551422,fast_food
73,72.8265965,19.0551422,fast_food
74,72.8265965,19.0551422,fast_food
75,72.8262102,19.0550042,school
76,72.8262102,19.0550042,school
77,72.8225796,19.0462341,school
78,72.8225796,19.0462341,school
79,72.8225796,19.0462341,school
80,72.8225796,19.0462341,school
81,72.8225796,19.0462341,school
82,72.8352965,19.0641273,college
83,72.8352965,19.0641273,college
84,72.8352965,19.0641273,college
85,72.8358458,19.0642652,college
86,72.8358458,19.0642652,college
87,72.8358458,19.0642652,college
88,72.8275179,19.0508044,college
89,72.8275179,19.0508044,college
90,72.8275179,19.0508044,college
91,72.8275179,19.0508044,pharmacy
92,72.8275179,19.0508044,pharmacy
93,72.8240813,19.0517569,pharmacy
94,72.8240813,19.0517569,pharmacy
95,72.8240813,19.0517569,pharmacy
96,72.8240813,19.0517569,restaurant
97,72.8240813,19.0517569,restaurant
98,72.8240813,19.0517569,restaurant
99,72.8240813,19.0517569,restaurant
100,72.8264717,19.0546237,cafe
101,72.8264717,19.0546237,cafe
102,72.8264717,19.0546237,cafe
103,72.8356395,19.0560513,cafe
104,72.8356395,19.0560513,cafe
105,72.8356395,19.0560513,police
106,72.8356395,19.0560513,police
107,72.8356395,19.0560513,police
108,72.8371137,19.064037,police
109,72.8371137,19.064037,police
110,72.8253751,19.0554901,school
111,72.8253751,19.0554901,school
112,72.8253751,19.0554901,school
113,72.8257957,19.0548709,restaurant
114,72.8257957,19.0548709,restaurant
115,72.8257957,19.0548709,restaurant
116,72.8257957,19.0548709,restaurant
117,72.8257957,19.0548709,restaurant
118,72.8257957,19.0548709,restaurant
